,telephone,latitude,longitude,streetAddress,street,city,state,zip_code,store_page_title
13,(833) 470-7096,34.84115373464132,-87.64009193347192,411 Cox Creek Pkwy,411 Cox Creek Pkwy,Florence,Alabama,35630,"Shop ALDI Grocery Store Florence, AL | 411 Cox Creek Pkwy"
14,(844) 476-4152,30.38070064485872,-87.67439913929788,130 E Pride Blvd,130 E Pride Blvd,Foley,Alabama,36535,"Shop ALDI Grocery Store Foley, AL | 130 E Pride Blvd"
15,(833) 470-7037,33.60821299615059,-86.80160120890832,1601 Morris Ave,1601 Morris Ave,Fultondale,Alabama,35068,"Shop ALDI Grocery Store Fultondale, AL | 1601 Morris Ave"
16,(833) 470-7095,34.01017082233084,-85.9936102686961,200 N Hood Ave,200 N Hood Ave,Gadsden,Alabama,35903,"Shop ALDI Grocery Store Gadsden, AL | 200 N Hood Ave"
17,(833) 470-7085,34.29884978076832,-86.2667895423279,11100 US Hwy 431,11100 US Hwy 431,Guntersville,Alabama,35976,"Shop ALDI Grocery Store Guntersville, AL | 11100 US Hwy 431"
18,(833) 470-7036,33.46395302103851,-86.82150319979883,428 Green Springs Hwy,428 Green Springs Hwy,Homewood,Alabama,35209,"Shop ALDI Grocery Store Homewood, AL | 428 Green Springs Hwy"
19,(833) 470-7027,33.3537593,-86.8468869,1025 Marble Terrace,1025 Marble Terrace,Hoover,Alabama,35244,"Shop ALDI Grocery Store Hoover, AL | 1025 Marble Terrace"
20,(833) 470-7029,33.45230553758986,-86.96886732520066,2891 Allison-Bonnett Memori,2891 Allison-Bonnett Memori,Hueytown,Alabama,35023,"Shop ALDI Grocery Store Hueytown, AL | 2891 Allison-Bonnett Memori"
21,(833) 470-7080,34.612722929573984,-86.56583235426979,11909 Memorial Pkwy S,11909 Memorial Pkwy S,Huntsville,Alabama,35803,"Shop ALDI Grocery Store Huntsville, AL | 11909 Memorial Pkwy S"
22,(833) 470-7082,34.8170518,-86.49590730000001,2125 Winchester Rd NE,2125 Winchester Rd NE,Huntsville,Alabama,35811,"Shop ALDI Grocery Store Huntsville, AL | 2125 Winchester Rd NE"
23,(833) 470-7083,34.70662453211434,-86.59092057534065,2900-A Memorial Pkwy SW,2900-A Memorial Pkwy SW,Huntsville,Alabama,35801,"Shop ALDI Grocery Store Huntsville, AL | 2900-A Memorial Pkwy SW"
24,(833) 470-7081,34.73664237349033,-86.64891353468192,4710 University Dr Unit R1,"4710 University Dr, Unit R1",Huntsville,Alabama,35816,"Shop ALDI Grocery Store Huntsville, AL | 4710 University Dr"
25,(833) 470-7078,33.84683869703924,-87.25787074713169,40 North Walston Bridge Rd,40 North Walston Bridge Rd,Jasper,Alabama,35504,"Shop ALDI Grocery Store Jasper, AL | 40 North Walston Bridge Rd"
26,(833) 470-7097,34.75579011526973,-86.73610971139169,7676 Hwy 72 W,7676 Hwy 72 W,Madison,Alabama,35758,"Shop ALDI Grocery Store Madison, AL | 7676 Hwy 72 W"
27,(866) 476-4144,30.6772585024054,-88.13154215482983,3658 Airport Blvd,3658 Airport Blvd,Mobile,Alabama,36608,"Shop ALDI Grocery Store Mobile, AL | 3658 Airport Blvd"
28,(877) 476-9146,30.5975264,-88.16126600000001,5021 Rangeline Crossing Dr,5021 Rangeline Crossing Dr,Mobile,Alabama,36619,"Shop ALDI Grocery Store Mobile, AL | 5021 Rangeline Crossing Dr"
29,(877) 476-6145,30.67790352,-88.22544322,975 Schillinger Rd S,975 Schillinger Rd S,Mobile,Alabama,36695,"Shop ALDI Grocery Store Mobile, AL | 975 Schillinger Rd S"
30,(844) 476-1105,32.3566783,-86.2192998,1568 Eastern Blvd,1568 Eastern Blvd,Montgomery,Alabama,36117,"Shop ALDI Grocery Store Montgomery, AL | 1568 Eastern Blvd"
31,(844) 476-1109,32.359717680658065,-86.16377653557636,7340 Eastchase Parkway,7340 Eastchase Parkway,Montgomery,Alabama,36117,"Shop ALDI Grocery Store Montgomery, AL | 7340 Eastchase Parkway"
32,(833) 470-7084,34.744305969985774,-87.6694460289309,516 W Avalon Ave,516 W Avalon Ave,Muscle Shoals,Alabama,35661,"Shop ALDI Grocery Store Muscle Shoals, AL | 516 W Avalon Ave"
33,(833) 470-7077,33.2342316,-87.61466310000002,5801 McFarland Blvd,5801 McFarland Blvd,Northport,Alabama,35476,"Shop ALDI Grocery Store Northport, AL | 5801 McFarland Blvd"
34,(844) 476-1046,32.622748855055775,-85.41198227843473,2400 Frederick Road,2400 Frederick Road,Opelika,Alabama,36801,"Shop ALDI Grocery Store Opelika, AL | 2400 Frederick Road"
35,(833) 470-7030,33.60954047610144,-85.82578495147573,75 Holmes Dr,75 Holmes Dr,Oxford,Alabama,36203,"Shop ALDI Grocery Store Oxford, AL | 75 Holmes Dr"
36,(833) 470-7032,33.34387342771688,-86.79503840300345,200 Big Mtn Rd,200 Big Mtn Rd,Pelham,Alabama,35124,"Shop ALDI Grocery Store Pelham, AL | 200 Big Mtn Rd"
37,(844) 476-1106,32.496768,-85.043993,3670 Marketplace Drive,3670 Marketplace Drive,Phenix City,Alabama,36867,"Shop ALDI Grocery Store Phenix City, AL | 3670 Marketplace Drive"
38,(844) 476-1103,32.4614923,-86.4206658,1817 East Main Street,1817 East Main Street,Prattville,Alabama,36066,"Shop ALDI Grocery Store Prattville, AL | 1817 East Main Street"
39,(833) 470-7028,33.1995981,-87.5243423,1349 McFarland Blvd,1349 McFarland Blvd,Tuscaloosa,Alabama,35404,"Shop ALDI Grocery Store Tuscaloosa, AL | 1349 McFarland Blvd"
40,(844) 476-1107,32.50804285819322,-86.2144494016829,4445 US Hwy 231,4445 US Hwy 231,Wetumpka,Alabama,36092,"Shop ALDI Grocery Store Wetumpka, AL | 4445 US Hwy 231"
41,(877) 479-1152,33.433763,-112.5551107,1361 S Watson Rd,1361 S Watson Rd,Buckeye,Arizona,85326,"Shop ALDI Grocery Store Buckeye, AZ | 1361 S Watson Rd"
42,(877) 479-1156,33.264493138973116,-111.86049801434716,2844 S Alma School Rd,2844 S Alma School Rd,Chandler,Arizona,85286,"Shop ALDI Grocery Store Chandler, AZ | 2844 S Alma School Rd"
43,(833) 479-7165,33.2948803,-111.7510481,1801 E Pecos Rd,1801 E Pecos Rd,Gilbert,Arizona,85295,"Shop ALDI Grocery Store Gilbert, AZ | 1801 E Pecos Rd"
44,(855) 479-1154,33.6379494632754,-112.18854672331354,16880 N. 59th Ave,16880 N. 59th Ave,Glendale,Arizona,85306,"Shop at ALDI Glendale, AZ | ALDI US"
45,(833) 479-7161,33.456433,-112.391697,845 N Estrella Pkwy,845 N Estrella Pkwy,Goodyear,Arizona,85338,"Shop ALDI Grocery Store Goodyear, AZ | 845 N Estrella Pkwy"
46,(833) 479-7157,33.3766417,-112.1836527,5775 W Baseline Rd,5775 W Baseline Rd,Laveen,Arizona,85339,"Shop ALDI Grocery Store Laveen, AZ | 5775 W Baseline Rd"
47,(833) 479-7163,33.3656149,-111.6014191,2738 S Signal Butte Rd,2738 S Signal Butte Rd,Mesa,Arizona,85209,"Shop ALDI Grocery Store Mesa, AZ | 2738 S Signal Butte Rd"
48,(877) 479-1160,33.7073797,-112.2724369,24665 N Lake Pleasant Pkwy,24665 N Lake Pleasant Pkwy,Peoria,Arizona,85383,"Shop ALDI Grocery Store Peoria, AZ | 24665 N Lake Pleasant Pkwy"
49,(833) 479-7158,33.6398797,-112.0520617,1401 E Bell Rd,1401 E Bell Rd,Phoenix,Arizona,85022,"Shop ALDI Grocery Store Phoenix, AZ | 1401 E Bell Rd"
50,(855) 955-2534,33.59853188340564,-111.98514238235634,4555 E. Cactus Road,4555 E. Cactus Road,Phoenix,Arizona,85032,"Shop ALDI Grocery Store Phoenix, AZ | 4555 E. Cactus Road"
51,(877) 479-1153,33.2647177,-111.6338773,20229 S Ellsworth Rd,20229 S Ellsworth Rd,Queen Creek,Arizona,85142,"Shop ALDI Grocery Store Queen Creek, AZ | 20229 S Ellsworth Rd"
52,(855) 479-1155,33.39150815542785,-111.91035725768948,1715 E Southern Ave,1715 E Southern Ave,Tempe,Arizona,85282,"Shop ALDI Grocery Store Tempe, AZ | 1715 E Southern Ave"
53,(855) 955-2534,35.76528278419312,-91.6111056714226,23 Eagle Mountain Blvd,23 Eagle Mountain Blvd,Batesville,Arkansas,72501,"Shop ALDI Grocery Store Batesville, AR | 23 Eagle Mountain Blvd"
54,(855) 955-2534,36.35777735849443,-94.22415896751116,1006 SW 14th Street,1006 SW 14th Street,Bentonville,Arkansas,72712,"Shop ALDI Grocery Store Bentonville, AR | 1006 SW 14th Street"
55,(855) 955-2534,36.05127837276071,-94.20661568641663,3214 W Martin Luther King,3214 W Martin Luther King,Fayetteville,Arkansas,72704,"Shop ALDI Grocery Store Fayetteville, AR | 3214 W Martin Luther King"
56,(855) 955-2534,35.3282635,-94.4114645,2201 South Zero Street,2201 South Zero Street,Fort Smith,Arkansas,72901,"Shop ALDI Grocery Store Fort Smith, AR | 2201 South Zero Street"
57,(855) 955-2534,35.34508389378303,-94.33886468410492,8400 Phoenix Avenue,8400 Phoenix Avenue,Fort Smith,Arkansas,72903,"Shop ALDI Grocery Store Fort Smith, AR | 8400 Phoenix Avenue"
58,(855) 955-2534,36.259113521321495,-93.12543576493574,1105 Hwy. 62/65 North,1105 Hwy. 62/65 North,Harrison,Arkansas,72601,"Shop ALDI Grocery Store Harrison, AR | 1105 Hwy. 62/65 North"
59,(855) 955-2534,35.81323685396721,-90.67738549550995,2610 S. Caraway Road,2610 S. Caraway Road,Jonesboro,Arkansas,72401,"Shop ALDI Grocery Store Jonesboro, AR | 2610 S. Caraway Road"
60,(855) 955-2534,36.05942232673474,-90.52456731779097,2810 W. Kingshighway,2810 W. Kingshighway,Paragould,Arkansas,72450,"Shop ALDI Grocery Store Paragould, AR | 2810 W. Kingshighway"
61,(855) 955-2534,36.33309595338043,-94.13594649871811,1316 West Walnut,1316 West Walnut,Rogers,Arkansas,72756,"Shop ALDI Grocery Store Rogers, AR | 1316 West Walnut"
62,(855) 955-2534,36.18004052486627,-94.51313715212848,2802 Hwy. 412 East,2802 Hwy. 412 East,Siloam Springs,Arkansas,72761,"Shop ALDI Grocery Store Siloam Springs, AR | 2802 Hwy. 412 East"
63,(855) 955-2534,36.16557058767107,-94.1424572467804,2009 S. Thompson,2009 S. Thompson,Springdale,Arkansas,72764,"Shop ALDI Grocery Store Springdale, AR | 2009 S. Thompson"
64,(855) 955-2534,36.1928508,-94.1855281,5001 Elm Springs Road,5001 Elm Springs Road,Springdale,Arkansas,72762,"Shop ALDI Grocery Store Springdale, AR | 5001 Elm Springs Road"
65,(855) 955-2534,35.471701113525974,-94.35703729822727,2309 Fayetteville Road,2309 Fayetteville Road,Van Buren,Arkansas,72956,"Shop ALDI Grocery Store Van Buren, AR | 2309 Fayetteville Road"
66,(833) 479-7112,34.09251806417138,-118.14543056955725,2121 W Main St Suite 100,"2121 W Main St, Suite 100",Alhambra,California,91801,"Shop ALDI Grocery Store Alhambra, CA | 2121 W Main St"
67,(877) 479-1116,34.18426441041794,-118.13120560487732,2246 N Lake Ave Unit B,"2246 N Lake Ave, Unit B",Altadena,California,91001,"Shop ALDI Grocery Store Altadena, CA | 2246 N Lake Ave"
68,(833) 479-7028,33.82927223954674,-117.94306844472885,275 S Euclid St,275 S Euclid St,Anaheim,California,92802,"Shop ALDI Grocery Store Anaheim, CA | 275 S Euclid St"
69,(833) 479-7109,34.1234503,-118.056253,1403 S Baldwin Ave,1403 S Baldwin Ave,Arcadia,California,91007,"Shop ALDI Grocery Store Arcadia, CA | 1403 S Baldwin Ave"
70,(833) 479-7174,35.11928923068244,-120.60193853157756,1221 E Grand Ave,1221 E Grand Ave,Arroyo Grande,California,93420,"Shop ALDI Grocery Store Arroyo Grande, CA | 1221 E Grand Ave"
71,(833) 479-7092,35.296801921838316,-119.02615146478638,2120 Panama Ln,2120 Panama Ln,Bakersfield,California,93307,"Shop ALDI Grocery Store Bakersfield, CA | 2120 Panama Ln"
72,(833) 479-7091,35.35574956565768,-119.05912870712578,5190 Stockdale Hwy,5190 Stockdale Hwy,Bakersfield,California,93307,"Shop ALDI Grocery Store Bakersfield, CA | 5190 Stockdale Hwy"
73,(833) 479-7090,33.9253261,-116.9493928,1638 E Second St,1638 E Second St,Beaumont,California,92223,"Shop ALDI Grocery Store Beaumont, CA | 1638 E Second St"
74,(833) 479-7071,33.887608,-118.12636,16123 Bellflower Blvd,16123 Bellflower Blvd,Bellflower,California,90706,"Shop ALDI Grocery Store Bellflower, CA | 16123 Bellflower Blvd"
75,(877) 479-1050,33.8484233,-117.9879734,8351 La Palma Ave,8351 La Palma Ave,Buena Park,California,90620,"Shop ALDI Grocery Store Buena Park, CA | 8351 La Palma Ave"
76,(833) 479-7004,34.1798952815024,-118.3215335864492,687 N Victory Blvd,687 N Victory Blvd,Burbank,California,91502,"Shop ALDI Grocery Store Burbank, CA | 687 N Victory Blvd"
77,(833) 479-7075,32.694935742764144,-115.49611890674589,2450 Rockwood Ave,2450 Rockwood Ave,Calexico,California,92231,"Shop ALDI Grocery Store Calexico, CA | 2450 Rockwood Ave"
78,(833) 479-7149,33.841942205714254,-118.26016033029413,20700 S Avalon Blvd Suite 103,"20700 S Avalon Blvd, Suite 103",Carson,California,90746,"Shop ALDI Grocery Store Carson, CA | 20700 S Avalon Blvd"
79,(833) 479-7024,33.857333088463534,-118.08756039307809,11530 South St,11530 South St,Cerritos,California,90703,"Shop ALDI Grocery Store Cerritos, CA | 11530 South St"
80,(833) 479-7113,34.00121250566934,-117.72043625222459,3840 Grand Ave,3840 Grand Ave,Chino,California,91710,"Shop ALDI Grocery Store Chino, CA | 3840 Grand Ave"
81,(833) 479-7096,32.59344522996992,-117.03509221793422,1850 Main Ct,1850 Main Ct,Chula Vista,California,91911,"Shop ALDI Grocery Store Chula Vista, CA | 1850 Main Ct"
82,(833) 479-7094,32.6508675,-117.0893941,40 N 4th Avenue Suite 110,"40 N 4th Avenue, Suite 110",Chula Vista,California,91910,"Shop ALDI Grocery Store Chula Vista, CA | 40 N 4th Avenue"
83,(833) 479-7011,36.83791313638574,-119.68625799343795,1725 Herndon Ave,1725 Herndon Ave,Clovis,California,93611,"Shop ALDI Grocery Store Clovis, CA | 1725 Herndon Ave"
84,(844) 479-7189,33.68251149990912,-116.18217884169884,50180 Cesar Chavez Street,50180 Cesar Chavez Street,Coachella,California,92236,"Shop ALDI Grocery Store Coachella, CA | 50180 Cesar Chavez Street"
85,(833) 479-7010,33.8798361,-118.2205578,203 Towne Center Dr,203 Towne Center Dr,Compton,California,90220,"Shop ALDI Grocery Store Compton, CA | 203 Towne Center Dr"
86,(877) 479-1089,33.89013737537185,-117.5629724306682,705 N Main St Suite 104,"705 N Main St, Suite 104",Corona,California,92878,"Shop ALDI Grocery Store Corona, CA | 705 N Main St"
87,(877) 479-1002,34.1044367,-117.9070628,1400 N Azusa Ave,1400 N Azusa Ave,Covina,California,91722,"Shop ALDI Grocery Store Covina, CA | 1400 N Azusa Ave"
88,(833) 479-7098,35.746613,-119.250602,490 Woollomes Ave,490 Woollomes Ave,Delano,California,93215,"Shop ALDI Grocery Store Delano, CA | 490 Woollomes Ave"
89,(833) 479-7019,33.934792,-118.1253323,11215 Lakewood Blvd,11215 Lakewood Blvd,Downey,California,90241,"Shop ALDI Grocery Store Downey, CA | 11215 Lakewood Blvd"
90,(844) 479-7058,32.806779740274926,-116.96306576487878,123 Fletcher Parkway,123 Fletcher Parkway,El Cajon,California,92020,"Shop at ALDI El Cajon, CA | ALDI US"
91,(833) 479-7081,32.8143527,-115.5715184,2260 N Imperial Ave,2260 N Imperial Ave,El Centro,California,92243,"Shop ALDI Grocery Store El Centro, CA | 2260 N Imperial Ave"
92,(877) 479-1104,33.0556369,-117.2607058,333 N El Camino Real,333 N El Camino Real,Encinitas,California,92024,"Shop ALDI Grocery Store Encinitas, CA | 333 N El Camino Real"
93,(833) 479-7072,33.132574133805754,-117.06519887612558,1330 E Valley Parkway # M,"1330 E Valley Parkway, # M",Escondido,California,92027,"Shop ALDI Grocery Store Escondido, CA | 1330 E Valley Parkway"
94,(844) 479-7073,33.11270388486103,-117.10397645934198,1352B W Valley Pkwy,1352B W Valley Pkwy,Escondido,California,92029,"Shop ALDI Grocery Store Escondido, CA | 1352B W Valley Pkwy"
95,(833) 479-7061,34.1495007,-117.4754168,15080 Summit Ave,15080 Summit Ave,Fontana,California,92336,"Shop ALDI Grocery Store Fontana, CA | 15080 Summit Ave"
96,(833) 479-7033,33.71480021418811,-117.97028616831994,17070 Magnolia St,17070 Magnolia St,Fountain Valley,California,92708,"Shop ALDI Grocery Store Fountain Valley, CA | 17070 Magnolia St"
97,(833) 479-7039,36.808995,-119.828226,2072 W Shaw Ave,2072 W Shaw Ave,Fresno,California,93711,"Shop ALDI Grocery Store Fresno, CA | 2072 W Shaw Ave"
98,(833) 479-7032,33.7899819,-117.9599887,9901 Chapman Ave,9901 Chapman Ave,Garden Grove,California,92841,"Shop ALDI Grocery Store Garden Grove, CA | 9901 Chapman Ave"
99,(833) 479-7022,33.889552533000064,-118.30358377764497,1550 W Redondo Beach Blvd,1550 W Redondo Beach Blvd,Gardena,California,90247,"Shop ALDI Grocery Store Gardena, CA | 1550 W Redondo Beach Blvd"
100,(833) 479-7111,34.11738963207514,-117.83072078406144,1251 S Lone Hill Ave,1251 S Lone Hill Ave,Glendora,California,91740,"Shop ALDI Grocery Store Glendora, CA | 1251 S Lone Hill Ave"
101,(833) 479-7198,36.327758,-119.674645,1789 W Lacey Blvd,1789 W Lacey Blvd,Hanford,California,93230,"Shop ALDI Grocery Store Hanford, CA | 1789 W Lacey Blvd"
102,(833) 479-7093,34.427836829418325,-117.37195207496647,13360 Main St,13360 Main St,Hesperia,California,92345,"Shop ALDI Grocery Store Hesperia, CA | 13360 Main St"
103,(833) 479-7097,34.469999,-117.25701,18667 Bear Valley Rd,18667 Bear Valley Rd,Hesperia,California,92345,"Shop ALDI Grocery Store Hesperia, CA | 18667 Bear Valley Rd"
104,(877) 479-1055,34.1374476,-117.1985372,4020 Highland Ave,4020 Highland Ave,Highland,California,92346,"Shop ALDI Grocery Store Highland, CA | 4020 Highland Ave"
105,(833) 479-7009,33.94436141517146,-118.32953319714761,3330 W Century Blvd,3330 W Century Blvd,Inglewood,California,90303,"Shop ALDI Grocery Store Inglewood, CA | 3330 W Century Blvd"
106,(833) 479-7005,33.91789616021083,-117.93465703725815,1001 E Imperial Hwy,1001 E Imperial Hwy,La Habra,California,90631,"Shop ALDI Grocery Store La Habra, CA | 1001 E Imperial Hwy"
107,(833) 479-7049,34.04804808030711,-117.94757723808289,1545 N Hacienda Blvd,1545 N Hacienda Blvd,La Puente,California,91744,"Shop ALDI Grocery Store La Puente, CA | 1545 N Hacienda Blvd"
108,(833) 479-7068,33.71249874693443,-116.29360140488868,78601 Highway 111,78601 Highway 111,La Quinta,California,92253,"Shop ALDI Grocery Store La Quinta, CA | 78601 Highway 111"
109,(833) 479-7013,34.11105633327798,-117.76276341299308,2268 Foothill Blvd,2268 Foothill Blvd,La Verne,California,91750,"Shop ALDI Grocery Store La Verne, CA | 2268 Foothill Blvd"
110,(833) 479-7029,33.60963095496758,-117.72323237898469,24270 El Toro Rd,24270 El Toro Rd,Laguna Woods,California,92637,"Shop ALDI Grocery Store Laguna Woods, CA | 24270 El Toro Rd"
111,(877) 479-1078,33.6919138,-117.3393656,18294 Collier Ave,18294 Collier Ave,Lake Elsinore,California,92530,"Shop ALDI Grocery Store Lake Elsinore, CA | 18294 Collier Ave"
112,(833) 479-7101,34.68908205565102,-118.0941224098205,2014 E Avenue J,2014 E Avenue J,Lancaster,California,93535,"Shop ALDI Grocery Store Lancaster, CA | 2014 E Avenue J"
113,(877) 479-1193,34.649695,-120.459227,729 North H Street,729 North H Street,Lompoc,California,93436,"Shop ALDI Grocery Store Lompoc, CA | 729 North H Street"
114,(833) 479-7047,33.84233337761013,-118.18350733862303,4580 Atlantic Ave,4580 Atlantic Ave,Long Beach,California,90807,"Shop ALDI Grocery Store Long Beach, CA | 4580 Atlantic Ave"
115,(855) 955-2534,33.782821,-118.180893,955 E Anaheim St.,955 E Anaheim St.,Long Beach,California,90813,"Shop ALDI Grocery Store Long Beach, CA | 955 E Anaheim St."
116,(833) 479-7062,33.68265499999998,-117.17688920370483,30163 Haun Rd,30163 Haun Rd,Menifee,California,92584,"Shop ALDI Grocery Store Menifee, CA | 30163 Haun Rd"
117,(833) 479-1016,33.97341306423279,-117.54637054678082,6365 Pats Ranch Road,6365 Pats Ranch Road,Mira Loma,California,91752,"Shop ALDI Grocery Store Mira Loma, CA | 6365 Pats Ranch Road"
118,(877) 479-1110,34.14144154542858,-117.98908442258835,731 E Huntington Dr,731 E Huntington Dr,Monrovia,California,91016,"Shop ALDI Grocery Store Monrovia, CA | 731 E Huntington Dr"
119,(833) 479-7077,33.93668414475694,-117.2763094631955,12630 Day St,12630 Day St,Moreno Valley,California,92553,"Shop ALDI Grocery Store Moreno Valley, CA | 12630 Day St"
120,(844) 479-7067,33.8875448,-117.2280188,24865 Iris Avenue,24865 Iris Avenue,Moreno Valley,California,92551,"Shop ALDI Grocery Store Moreno Valley, CA | 24865 Iris Avenue"
121,(855) 479-1176,33.59911424717577,-117.16746930552254,28230 Clinton Keith Road,28230 Clinton Keith Road,Murrieta,California,92563,"Shop ALDI Grocery Store Murrieta, CA | 28230 Clinton Keith Road"
122,(833) 479-7088,33.55217531782186,-117.1412198652862,39025 Date St,39025 Date St,Murrieta,California,92563,"Shop ALDI Grocery Store Murrieta, CA | 39025 Date St"
123,(833) 479-7057,34.23361056665636,-118.55607903792107,19350 W Nordhoff Way Unit F,"19350 W Nordhoff Way, Unit F",Northridge,California,91324,"Shop ALDI Grocery Store Northridge, CA | 19350 W Nordhoff Way"
124,(833) 479-7052,33.207927685912566,-117.28162027116394,4251 Oceanside Blvd,4251 Oceanside Blvd,Oceanside,California,92056,"Shop ALDI Grocery Store Oceanside, CA | 4251 Oceanside Blvd"
125,(833) 479-7014,34.21773125384675,-119.15954355861577,1710 E Gonzales Rd,1710 E Gonzales Rd,Oxnard,California,93036,"Shop ALDI Grocery Store Oxnard, CA | 1710 E Gonzales Rd"
126,(833) 479-7117,34.196115,-119.196354,635 S Ventura Rd,635 S Ventura Rd,Oxnard,California,93030,"Shop ALDI Grocery Store Oxnard, CA | 635 S Ventura Rd"
127,(833) 479-7069,33.72506484723149,-116.4016713278329,72543 Highway 111 Suite B,"72543 Highway 111, Suite B",Palm Desert,California,92260,"Shop ALDI Grocery Store Palm Desert, CA | 72543 Highway 111"
128,(833) 479-7070,33.818742464392095,-116.49275841455322,5200 E Ramon Rd Suite B5,"5200 E Ramon Rd, Suite B5",Palm Springs,California,92264,"Shop ALDI Grocery Store Palm Springs, CA | 5200 E Ramon Rd"
129,(833) 479-7085,34.60068005965207,-118.14525336027145,740 W Rancho Vista Blvd,740 W Rancho Vista Blvd,Palmdale,California,93551,"Shop ALDI Grocery Store Palmdale, CA | 740 W Rancho Vista Blvd"
130,(833) 479-7087,34.22097948998574,-118.4514637341598,14626 Roscoe Blvd,14626 Roscoe Blvd,Panorama City,California,91402,"Shop ALDI Grocery Store Panorama City, CA | 14626 Roscoe Blvd"
131,(833) 479-7074,33.8086196,-117.2279697,80 Citrus Ave,80 Citrus Ave,Perris,California,92571,"Shop ALDI Grocery Store Perris, CA | 80 Citrus Ave"
132,(877) 479-1020,33.98215193174782,-118.09888323313515,8950 Washington Blvd,8950 Washington Blvd,Pico Rivera,California,90660,"Shop ALDI Grocery Store Pico Rivera, CA | 8950 Washington Blvd"
133,(833) 479-7199,36.05248680346351,-119.02557174717015,770 S Jaye St,770 S Jaye St,Porterville,California,93257,"Shop ALDI Grocery Store Porterville, CA | 770 S Jaye St"
134,(833) 479-7127,32.957821,-117.039367,13440 Poway Rd,13440 Poway Rd,Poway,California,92064,"Shop ALDI Grocery Store Poway, CA | 13440 Poway Rd"
135,(833) 479-7095,33.0381573,-116.8793361,215 16th St,215 16th St,Ramona,California,92065,"Shop ALDI Grocery Store Ramona, CA | 215 16th St"
136,(833) 479-7114,34.10804289851676,-117.56376118990374,11070 Foothill Blvd,11070 Foothill Blvd,Rancho Cucamonga,California,91730,"Shop ALDI Grocery Store Rancho Cucamonga, CA | 11070 Foothill Blvd"
137,(833) 479-7040,34.07593434947232,-117.20271246740612,27641 San Bernardino Ave,27641 San Bernardino Ave,Redlands,California,92374,"Shop ALDI Grocery Store Redlands, CA | 27641 San Bernardino Ave"
138,(833) 479-7044,34.10718660049573,-117.38257562698362,630 W Foothill Blvd,630 W Foothill Blvd,Rialto,California,92376,"Shop ALDI Grocery Store Rialto, CA | 630 W Foothill Blvd"
139,(833) 479-7006,33.91030576406586,-117.461874171793,3750 Tyler St,3750 Tyler St,Riverside,California,92503,"Shop ALDI Grocery Store Riverside, CA | 3750 Tyler St"
140,(844) 479-7045,34.0649112,-117.2723752,625 E Hospitality Ln,625 E Hospitality Ln,San Bernardino,California,92408,"Shop ALDI Grocery Store San Bernardino, CA | 625 E Hospitality Ln"
